callsign,icao,name,prefix,fir
HHAA,HHAA,Asmara,,HHAA
HKNA,HKNA,Nairobi,,HKNA
HJJJ,HJJJ,Juba (Up to FL245),,HJJJ
TIP,HLLL,Tripoli,TIP,HLLL
HLLL,HLLL,Tripoli,TIP,HLLL
HLLT,HLLL,Tripoli,HLLT,HLLL
BEN,HLLB,Benina,BEN,HLLL
HLLB,HLLB,Benina,BEN,HLLL
HRYR,HRYR,Kigali,,HRYR
HSSS,HSSS,Khartoum,,HSSS
HTDC,HTDC,Dar-Es-Salaam,,HTDC
HUEC,HUEC,Entebbe,,HUEC
ABQ,KZAB,Albuquerque,ABQ,KZAB
KZAB,KZAB,Albuquerque,ABQ,KZAB
CHI,KZAU,Chicago,CHI,KZAU
KZAU,KZAU,Chicago,CHI,KZAU
ORD,KZAU,Chicago,ORD,KZAU
BOS,KZBW,Boston,BOS,KZBW
KZBW,KZBW,Boston,BOS,KZBW
DC,KZDC,Washington,DC,KZDC
KZDC,KZDC,Washington,DC,KZDC
WAS,KZDC,Washington,WAS,KZDC
DEN,KZDV,Denver,DEN,KZDV
KZDV,KZDV,Denver,DEN,KZDV
FTW,KZFW,Fort Worth,FTW,KZFW
KZFW,KZFW,Fort Worth,FTW,KZFW
HOU,KZHU,Houston,HOU,KZHU
KZHU,KZHU,Houston,HOU,KZHU
ZHU,KZHU,Houston Oceanic,ZHU,KZHU
IND,KZID,Indianapolis,IND,KZID
KZID,KZID,Indianapolis,IND,KZID
JAX,KZJX,Jacksonville,JAX,KZJX
KZJX,KZJX,Jacksonville,JAX,KZJX
MCI,KZKC,Kansas City,MCI,KZKC
KZKC,KZKC,Kansas City,MCI,KZKC
KC,KZKC,Kansas City,KC,KZKC
LAX,KZLA,Los Angeles,LAX,KZLA
KZLA,KZLA,Los Angeles,LAX,KZLA
LA,KZLA,Los Angeles,LA,KZLA
SLC,KZLC,Salt Lake City,SLC,KZLC
KZLC,KZLC,Salt Lake City,SLC,KZLC
MIA,KZMA,Miami,MIA,KZMA
KZMA,KZMA,Miami,MIA,KZMA
ZMO,KZMO,Miami,ZMO,KZMO
KZMO,KZMO,Miami,ZMO,KZMO
MEM,KZME,Memphis,MEM,KZME
KZME,KZME,Memphis,MEM,KZME
MSP,KZMP,Minneapolis,MSP,KZMP
KZMP,KZMP,Minneapolis,MSP,KZMP
NY_W,KZNY-W,New York (West),NY_W,KZNY-W
KZNY-W,KZNY-W,New York (West),NY_W,KZNY-W
NY,KZNY,New York,NY,KZNY
KZNY,KZNY,New York,NY,KZNY
BDA,KZNY-BDA,New York - Bermuda TMA,BDA,KZNY-BDA
KZNY-BDA,KZNY-BDA,New York - Bermuda TMA,BDA,KZNY-BDA
OAK,KZOA,Oakland,OAK,KZOA
KZOA,KZOA,Oakland,OAK,KZOA
ZAK,KZAK,Oakland Oceanic,ZAK,KZAK
KZAK,KZAK,Oakland Oceanic,ZAK,KZAK
OO,KZAK,Oakland Oceanic,OO,KZAK
OOR,KZAK,Oakland Oceanic,OOR,KZAK
OORO,KZAK,Oakland Oceanic,OORO,KZAK
SF,KZA1,San Francisco Oceanic,SF,KZAK
KZA1,KZA1,San Francisco Oceanic,SF,KZAK
SFR,KZA1,San Francisco Oceanic,SFR,KZAK
SFRO,KZA1,San Francisco Oceanic,SFRO,KZAK
CLE,KZOB,Cleveland,CLE,KZOB
KZOB,KZOB,Cleveland,CLE,KZOB
SEA,KZSE,Seattle,SEA,KZSE
KZSE,KZSE,Seattle,SEA,KZSE
ATL,KZTL,Atlanta,ATL,KZTL
KZTL,KZTL,Atlanta,ATL,KZTL
LAAA,LAAA,Tirana,,LAAA
LBSR,LBSR,Sofia,,LBSR
LCCC,LCCC,Nicosia,,LCCC
LCCC-E,LCCC-E,Nicosia,LCCC-E,LCCC-E
LCCC-H,LCCC-H,Nicosia-(South2 Sector),LCCC-H,LCCC-H
LCCC-S,LCCC-S,Nicosia,LCCC-S,LCCC-S
LCCC-W,LCCC-W,Nicosia,LCCC-W,LCCC-W
LDZO,LDZO,Zagreb,,LDZO
LEBL,LECB,Barcelona,LEBL,LECB
LECB,LECB,Barcelona,LEBL,LECB
LECB_RW,LECB-W,Barcelona West,LECB_RW,LECB-W
LECB-W,LECB-W,Barcelona West,LECB_RW,LECB-W
LECB_RE,LECB-E,Barcelona East,LECB_RE,LECB-E
LECB-E,LECB-E,Barcelona East,LECB_RE,LECB-E
LECB_RS,LECB-S,Barcelona South,LECB_RS,LECB-S
LECB-S,LECB-S,Barcelona South,LECB_RS,LECB-S
LECB_RN,LECB-N,Barcelona North,LECB_RN,LECB-N
LECB-N,LECB-N,Barcelona North,LECB_RN,LECB-N
LECL,LECL,Valencia (FL245-),,LECL
LEMD,LECM,Madrid,LEMD,LECM
LECM,LECM,Madrid,LEMD,LECM
LECM_ALL,LECM-ALL,Madrid,LECM_ALL,LECM-ALL
LECM-ALL,LECM-ALL,Madrid,LECM_ALL,LECM-ALL
LECM_R1,LECM-R1,Madrid,LECM_R1,LECM-R1
LECM-R1,LECM-R1,Madrid,LECM_R1,LECM-R1
LECM_R2,LECM-R2,Madrid,LECM_R2,LECM-R2
LECM-R2,LECM-R2,Madrid,LECM_R2,LECM-R2
LEPA,LECP,Palma (FL245-),LEPA,LECP
LECP,LECP,Palma (FL245-),LEPA,LECP
LECS,LECS,Sevilla,,LECS
LFBB,LFBB,Bordeaux,,LFBB
